Name_cpu,Codename,Cores_Threads,Clock_Frequency,Socket,Process_Size,L3_Cache,TDP,Released,cpu_key
Ryzen 3 1200,Zen,4,3.1 to 3.4 GHz,Socket AM4,14 nm,8 MB,65 W,Jul 2017,ryzen31200
Ryzen 5 1600,Summit Ridge,6 / 12,3.2 to 3.6 GHz,Socket AM4,14 nm,16 MB,65 W,Apr 2017,ryzen51600
Ryzen 5 5500U,Lucienne,6 / 12,2.1 to 4 GHz,Socket FP6,7 nm,8 MB,15 W,Jan 2021,ryzen55500u
Ryzen 5 5600G,Cezanne,6 / 12,3.9 to 4.4 GHz,Socket AM4,7 nm,16 MB,65 W,Apr 2021,ryzen55600g
Ryzen 5 PRO 5650U,Cezanne-U,6 / 12,2.3 to 4.2 GHz,Socket FP6,7 nm,16 MB,15 W,Mar 2021,ryzen5pro5650u
Ryzen 7 5700G,Cezanne,8 / 16,3.8 to 4.6 GHz,Socket AM4,7 nm,16 MB,65 W,Apr 2021,ryzen75700g
Ryzen 7 5700U,Lucienne,8 / 16,1.8 to 4.3 GHz,Socket FP6,7 nm,8 MB,15 W,Jan 2021,ryzen75700u
Ryzen 7 5800H,Cezanne,8 / 16,3.2 to 4.4 GHz,Socket FP6,7 nm,16 MB,45 W,Jan 2021,ryzen75800h
Ryzen 9 3900X,Matisse,12 / 24,3.8 to 4.6 GHz,Socket AM4,7 nm,64 MB,105 W,Jul 2019,ryzen93900x
Ryzen 9 5900X,Vermeer,12 / 24,3.7 to 4.8 GHz,Socket AM4,7 nm,64 MB,105 W,Nov 2020,ryzen95900x
Ryzen 9 5950X,Vermeer,16 / 32,3.4 to 4.9 GHz,Socket AM4,7 nm,64 MB,105 W,Nov 2020,ryzen95950x
