gpu_name,cpu_name,demand_score,resolution,preset,ray_tracing,rt_quality,upscaling,upscaling_quality,engine,game,gpu_key,cpu_key,avg_fps
RX 470,Ryzen 9 5900X,2.6,1280x720,Ultra,False,None,None,None,Custom (Unity),Genshin Impact,rx470,ryzen95900x,59.1
RTX 5060 Ti 16 GB,Ryzen 5 5600G,1.4,1280x720,Ultra,False,None,None,None,Custom,Sims 4,rtx5060ti16gb,ryzen55600g,161.9
RTX 5080,Ryzen 9 3900X,6.5,1280x720,Low,False,None,None,None,Unreal Engine 4,Hogwarts Legacy,rtx5080,ryzen93900x,98.1
RTX 3070 Ti,Ryzen 3 1200,3.5,1280x720,Medium,False,None,None,None,RAGE,GTA V,rtx3070ti,ryzen31200,106.0
RTX 2070 SUPER,Ryzen 5 5600G,4.0,2560x1440,High,False,None,None,None,Unreal Engine 5,Fortnite,rtx2070super,ryzen55600g,21.2
RTX 5060,Ryzen 9 3900X,1.8,1280x720,High,False,None,None,None,Unreal Engine 4,Fall Guys,rtx5060,ryzen93900x,170.6
GTX 1070 Ti,Ryzen 3 1200,7.2,1920x1080,Ultra,False,None,None,None,CryEngine,Kingdom Come: Deliverance 2,gtx1070ti,ryzen31200,13.5
RX 6800 XT,Ryzen 3 1200,4.5,1920x1080,Low,False,None,None,None,Unreal Engine 5,Marvel Rivals,rx6800xt,ryzen31200,61.7
RTX 5070 Ti,Ryzen 7 5700U,2.2,1280x720,Medium,False,None,None,None,Custom,Hades II,rtx5070ti,ryzen75700u,181.7
RX 6400,Ryzen 9 5950X,6.8,1280x720,High,True,Low,None,None,Unreal Engine 4,Star Wars Jedi: Survivor,rx6400,ryzen95950x,17.2
GTX 1080 Ti,Ryzen 5 1600,5.0,2560x1440,Medium,False,None,None,None,ForzaTech,Forza Horizon 5,gtx1080ti,ryzen51600,24.3
RX 7900 XT,Ryzen 5 5500U,5.0,1920x1080,Low,False,None,None,None,Custom,Total War: Warhammer III,rx7900xt,ryzen55500u,63.7
GTX 1050 Ti,Ryzen 7 5700U,5.0,2560x1440,High,False,None,None,None,Custom,Total War: Warhammer III,gtx1050ti,ryzen75700u,9.4
GTX 970,Ryzen 5 1600,4.8,1280x720,Ultra,False,None,None,None,Slipspace,Halo Infinite,gtx970,ryzen51600,26.1
GTX 1080,Ryzen 5 1600,3.0,2560x1440,Low,False,None,None,None,Unreal Engine 4,It Takes Two,gtx1080,ryzen51600,45.7
RX 9060 XT 16 GB,Ryzen 9 3900X,8.5,1920x1080,Medium,True,High,None,None,REDengine 4,Cyberpunk 2077,rx9060xt16gb,ryzen93900x,11.3
GTX 980 Ti,Ryzen 3 1200,7.5,1280x720,Medium,False,None,FSR,Quality,AnvilNext 2.0,Assassin's Creed Shadows,gtx980ti,ryzen31200,44.4
RTX 2070,Ryzen 7 5800H,3.6,1920x1080,High,False,None,None,None,Unreal Engine 4,PUBG,rtx2070,ryzen75800h,31.8
RTX 4070 SUPER,Ryzen 7 5700U,4.8,1920x1080,Ultra,False,None,None,None,Unreal Engine 5,Palworld,rtx4070super,ryzen75700u,28.1
GTX 1080 Ti,Ryzen 7 5700G,5.5,2560x1440,Medium,False,None,FSR,Performance,Unreal Engine 4,Ready or Not,gtx1080ti,ryzen75700g,36.4
RX 7700 XT,Ryzen 3 1200,8.2,1920x1080,Ultra,True,Medium,FSR,Performance,Unreal Engine 5,Stalker 2,rx7700xt,ryzen31200,16.1
RTX 5060 Ti 16 GB,Ryzen 5 1600,6.5,1920x1080,High,False,None,None,None,Creation Engine 2,Starfield,rtx5060ti16gb,ryzen51600,27.8
RTX 2060 SUPER,Ryzen 5 5600G,7.0,2560x1440,High,False,None,None,None,RAGE,Red Dead Redemption 2,rtx2060super,ryzen55600g,10.9
GTX 1660 SUPER,Ryzen 3 1200,2.2,2560x1440,Low,False,None,None,None,Source 2,Dota 2,gtx1660super,ryzen31200,45.4
RX 5700,Ryzen 9 3900X,4.5,2560x1440,Ultra,False,None,None,None,Unreal Engine 5,Marvel Rivals,rx5700,ryzen93900x,13.1
GTX 1660 SUPER,Ryzen 9 3900X,5.5,2560x1440,High,False,None,None,None,Unreal Engine 4,Ready or Not,gtx1660super,ryzen93900x,12.6
RTX 5060,Ryzen 7 5700U,4.5,1920x1080,Medium,False,None,None,None,Custom,Anno 117: Pax Romana,rtx5060,ryzen75700u,44.6
RTX 4080 SUPER,Ryzen 7 5800H,4.8,1280x720,Medium,False,None,None,None,Unreal Engine 5,Palworld,rtx4080super,ryzen75800h,115.7
GTX 1050 Ti,Ryzen 7 5700G,2.0,1280x720,Ultra,False,None,None,None,Custom (Java),Minecraft,gtx1050ti,ryzen75700g,46.2
GTX 1080 Ti,Ryzen 7 5700U,2.2,1920x1080,High,False,None,None,None,Custom,Hades II,gtx1080ti,ryzen75700u,65.9
RX 7900 XTX,Ryzen 5 5500U,4.0,2560x1440,Ultra,False,None,None,None,Dagor Engine,War Thunder,rx7900xtx,ryzen55500u,23.8
GTX 1660 Ti,Ryzen 5 1600,1.2,1280x720,High,False,None,None,None,Custom,League of Legends,gtx1660ti,ryzen51600,158.4
RX 7700 XT,Ryzen 7 5700U,6.8,3840x2160,High,True,Low,FSR,Quality,Unreal Engine 5,Borderlands 4,rx7700xt,ryzen75700u,8.4
RTX 5060 Ti 16 GB,Ryzen 5 5500U,8.2,3840x2160,Ultra,True,Medium,None,None,Unreal Engine 5,Stalker 2,rtx5060ti16gb,ryzen55500u,3.0
RX 7600,Ryzen 5 PRO 5650U,1.8,3840x2160,Medium,False,None,None,None,Source 2,CS2,rx7600,ryzen5pro5650u,38.8
GTX 980 Ti,Ryzen 5 5500U,6.8,1920x1080,Medium,False,None,FSR,Balanced,Unreal Engine 4,Star Wars Jedi: Survivor,gtx980ti,ryzen55500u,26.6
RTX 4090,Ryzen 5 PRO 5650U,2.2,2560x1440,Ultra,False,None,None,None,Source 2,Dota 2,rtx4090,ryzen5pro5650u,42.3
RTX 2080 Ti,Ryzen 7 5800H,6.2,3840x2160,Low,True,Low,FSR,Balanced,Decima,Horizon Forbidden West,rtx2080ti,ryzen75800h,12.1
GTX 980,Ryzen 9 3900X,4.5,1920x1080,Ultra,False,None,None,None,IW Engine,Call of Duty: MW3,gtx980,ryzen93900x,19.7
RTX 2060 SUPER,Ryzen 9 5900X,6.5,1920x1080,High,False,None,None,None,Unreal Engine 4,Hogwarts Legacy,rtx2060super,ryzen95900x,18.6
RTX 5080,Ryzen 9 3900X,5.5,2560x1440,Ultra,True,Low,FSR,Balanced,REDengine 3,The Witcher 3,rtx5080,ryzen93900x,19.1
RX 6800 XT,Ryzen 9 3900X,1.8,2560x1440,Medium,False,None,None,None,Source 2,CS2,rx6800xt,ryzen93900x,74.6
GTX 1660 Ti,Ryzen 5 1600,2.5,1280x720,Medium,False,None,None,None,Custom,Civilization VII,gtx1660ti,ryzen51600,102.1
GTX 980 Ti,Ryzen 7 5700U,8.2,1280x720,Medium,False,None,None,None,Unreal Engine 5,Stalker 2,gtx980ti,ryzen75700u,35.2
RX 6600,Ryzen 3 1200,7.8,1920x1080,Medium,True,High,None,None,id Tech 7,Indiana Jones and the Great Circle,rx6600,ryzen31200,8.2
RTX 4060 Ti 16 GB,Ryzen 5 5500U,2.2,1920x1080,Medium,False,None,None,None,Custom,Hades II,rtx4060ti16gb,ryzen55500u,93.8
GTX 960,Ryzen 7 5800H,6.5,2560x1440,Medium,False,None,None,None,Creation Engine 2,Starfield,gtx960,ryzen75800h,9.0
GTX 1080,Ryzen 5 5600G,5.5,2560x1440,Medium,False,None,FSR,Balanced,Frostbite,Battlefield 2042,gtx1080,ryzen55600g,26.4
GTX 1660 Ti,Ryzen 5 PRO 5650U,5.0,1920x1080,Ultra,False,None,FSR,Balanced,ForzaTech,Forza Horizon 5,gtx1660ti,ryzen5pro5650u,24.2
RTX 5090,Ryzen 5 PRO 5650U,5.5,2560x1440,High,False,None,None,None,Custom,Elden Ring,rtx5090,ryzen5pro5650u,24.4
RTX 3070 Ti,Ryzen 5 PRO 5650U,7.8,2560x1440,High,False,None,FSR,Balanced,id Tech 7,Indiana Jones and the Great Circle,rtx3070ti,ryzen5pro5650u,20.9
RTX 4080 SUPER,Ryzen 9 5950X,5.5,2560x1440,Low,False,None,None,None,Custom,Elden Ring,rtx4080super,ryzen95950x,40.3
RTX 4060,Ryzen 9 5900X,1.8,1280x720,Low,False,None,None,None,Unreal Engine 4,Fall Guys,rtx4060,ryzen95900x,240.4
GTX 1660 SUPER,Ryzen 7 5700U,5.0,2560x1440,Ultra,False,None,None,None,RE Engine,Resident Evil 4 Remake,gtx1660super,ryzen75700u,10.1
GTX 1080,Ryzen 5 PRO 5650U,8.5,2560x1440,Ultra,False,None,FSR,Ultra Quality,REDengine 4,Cyberpunk 2077,gtx1080,ryzen5pro5650u,7.9
RTX 5060,Ryzen 5 1600,7.5,2560x1440,High,False,None,None,None,AnvilNext 2.0,Assassin's Creed Shadows,rtx5060,ryzen51600,14.6
Arc A770,Ryzen 7 5700G,7.0,3840x2160,High,False,None,None,None,RE Engine,Monster Hunter Wilds,arca770,ryzen75700g,8.1
RTX 2080 Ti,Ryzen 3 1200,4.2,1280x720,Medium,False,None,FSR,Balanced,EGO Engine,F1 24,rtx2080ti,ryzen31200,136.2
RTX 4080,Ryzen 3 1200,6.5,2560x1440,Low,False,None,FSR,Quality,Creation Engine 2,Starfield,rtx4080,ryzen31200,39.3
GTX 1050 Ti,Ryzen 7 5800H,6.5,3840x2160,Medium,False,None,FSR,Ultra Quality,Unreal Engine 4,Hogwarts Legacy,gtx1050ti,ryzen75800h,4.3
RTX 2080 SUPER,Ryzen 5 5500U,2.2,1920x1080,High,False,None,None,None,Source 2,Dota 2,rtx2080super,ryzen55500u,67.1
RTX 5050,Ryzen 5 5600G,2.8,1280x720,Medium,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,rtx5050,ryzen55600g,130.9
RTX 5070 Ti,Ryzen 7 5700G,2.0,1920x1080,Ultra,False,None,None,None,Custom (Java),Minecraft,rtx5070ti,ryzen75700g,87.2
RTX 2070,Ryzen 9 5950X,5.5,2560x1440,Ultra,False,None,FSR,Balanced,Unreal Engine 4,Ready or Not,rtx2070,ryzen95950x,15.0
RTX 5080,Ryzen 5 5600G,7.5,2560x1440,High,False,None,FSR,Quality,AnvilNext 2.0,Assassin's Creed Shadows,rtx5080,ryzen55600g,23.1
RTX 4080,Ryzen 5 5500U,6.5,3840x2160,High,False,None,None,None,Unity,Escape from Tarkov,rtx4080,ryzen55500u,10.1
GTX 1050 Ti,Ryzen 5 5500U,8.8,2560x1440,Low,False,None,FSR,Performance,Unreal Engine 5,Black Myth: Wukong,gtx1050ti,ryzen55500u,14.3
RTX 3090 Ti,Ryzen 9 5900X,5.5,2560x1440,Low,False,None,None,None,Custom,Elden Ring,rtx3090ti,ryzen95900x,28.2
RTX 5080,Ryzen 5 1600,1.8,2560x1440,High,False,None,None,None,Unreal Engine 4,Fall Guys,rtx5080,ryzen51600,77.7
