Name_gpu,Graphics Processor__Architecture,Clock Speeds__GPU Clock,Clock Speeds__Base Clock,Clock Speeds__Boost Clock,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Memory__Bandwidth,Board Design__TDP,Top__CORES,Render Config__Shading Units,Render Config__RT Cores,Theoretical Performance__FP32 (float),gpu_key
Arc A770,Xe-HPG,,2100 MHz,2400 MHz,16 GB,GDDR6,256 bit,512.0 GB/s,225 W,4096,4096.0,32.0,19.66 TFLOPS,arca770
Arc B580,Xe2-HPG,,2670 MHz,2670 MHz,12 GB,GDDR6,192 bit,456.0 GB/s,190 W,2560,2560.0,20.0,13.67 TFLOPS,arcb580
GTX 1050 Ti,Pascal,,1291 MHz,1392 MHz,4 GB,GDDR5,128 bit,112.1 GB/s,75 W,768,768.0,,2.138 TFLOPS,gtx1050ti
GTX 1070 Ti,Pascal,,1607 MHz,1683 MHz,8 GB,GDDR5,256 bit,256.3 GB/s,180 W,2432,2432.0,,8.186 TFLOPS,gtx1070ti
GTX 1080,Pascal,,1607 MHz,1733 MHz,8 GB,GDDR5X,256 bit,320.3 GB/s,180 W,2560,2560.0,,8.873 TFLOPS,gtx1080
GTX 1080 Ti,Pascal,,1481 MHz,1582 MHz,11 GB,GDDR5X,352 bit,484.4 GB/s,250 W,3584,3584.0,,11.34 TFLOPS,gtx1080ti
GTX 1630,Turing,,1740 MHz,1785 MHz,4 GB,GDDR6,64 bit,96.00 GB/s,75 W,512,512.0,,1.828 TFLOPS,gtx1630
GTX 1650 SUPER,Turing,,1530 MHz,1725 MHz,4 GB,GDDR6,128 bit,192.0 GB/s,100 W,1280,1280.0,,4.416 TFLOPS,gtx1650super
GTX 1660,Turing,,1530 MHz,1785 MHz,6 GB,GDDR5,192 bit,192.1 GB/s,120 W,1408,1408.0,,5.027 TFLOPS,gtx1660
GTX 1660 SUPER,Turing,,1530 MHz,1785 MHz,6 GB,GDDR6,192 bit,336.0 GB/s,125 W,1408,1408.0,,5.027 TFLOPS,gtx1660super
GTX 1660 Ti,Turing,,1500 MHz,1770 MHz,6 GB,GDDR6,192 bit,288.0 GB/s,120 W,1536,1536.0,,5.437 TFLOPS,gtx1660ti
GTX 750 Ti,Maxwell,,1020 MHz,1085 MHz,2 GB,GDDR5,128 bit,86.40 GB/s,60 W,640,640.0,,"1,388.8 GFLOPS",gtx750ti
GTX 780 Ti,Kepler,,875 MHz,928 MHz,3 GB,GDDR5,384 bit,336.6 GB/s,250 W,2880,2880.0,,5.345 TFLOPS,gtx780ti
GTX 950,Maxwell 2.0,,1024 MHz,1188 MHz,2 GB,GDDR5,128 bit,105.8 GB/s,90 W,768,768.0,,1.825 TFLOPS,gtx950
GTX 960,Maxwell 2.0,,1127 MHz,1178 MHz,2 GB,GDDR5,128 bit,112.2 GB/s,120 W,1024,1024.0,,2.413 TFLOPS,gtx960
GTX 970,Maxwell 2.0,,1050 MHz,1178 MHz,4 GB,GDDR5,256 bit,224.4 GB/s,148 W,1664,1664.0,,3.920 TFLOPS,gtx970
GTX 980,Maxwell 2.0,,1127 MHz,1216 MHz,4 GB,GDDR5,256 bit,224.4 GB/s,165 W,2048,2048.0,,4.981 TFLOPS,gtx980
GTX 980 Ti,Maxwell 2.0,,1000 MHz,1076 MHz,6 GB,GDDR5,384 bit,336.6 GB/s,250 W,2816,2816.0,,6.060 TFLOPS,gtx980ti
RTX 2060 SUPER,Turing,,1470 MHz,1650 MHz,8 GB,GDDR6,256 bit,448.0 GB/s,175 W,2176,2176.0,34.0,7.181 TFLOPS,rtx2060super
RTX 2070,Turing,,1410 MHz,1620 MHz,8 GB,GDDR6,256 bit,448.0 GB/s,175 W,2304,2304.0,36.0,7.465 TFLOPS,rtx2070
RTX 2070 SUPER,Turing,,1605 MHz,1770 MHz,8 GB,GDDR6,256 bit,448.0 GB/s,215 W,2560,2560.0,40.0,9.062 TFLOPS,rtx2070super
RTX 2080,Turing,,1515 MHz,1710 MHz,8 GB,GDDR6,256 bit,448.0 GB/s,215 W,2944,2944.0,46.0,10.07 TFLOPS,rtx2080
RTX 2080 SUPER,Turing,,1650 MHz,1815 MHz,8 GB,GDDR6,256 bit,495.9 GB/s,250 W,3072,3072.0,48.0,11.15 TFLOPS,rtx2080super
RTX 2080 Ti,Turing,,1350 MHz,1545 MHz,11 GB,GDDR6,352 bit,616.0 GB/s,250 W,4352,4352.0,68.0,13.45 TFLOPS,rtx2080ti
RTX 3050 6 GB,Ampere,,1042 MHz,1470 MHz,6 GB,GDDR6,96 bit,168.0 GB/s,70 W,2304,2304.0,18.0,6.774 TFLOPS,rtx30506gb
RTX 3070,Ampere,,1500 MHz,1725 MHz,8 GB,GDDR6,256 bit,448.0 GB/s,220 W,5888,5888.0,46.0,20.31 TFLOPS,rtx3070
RTX 3070 Ti,Ampere,,1575 MHz,1770 MHz,8 GB,GDDR6X,256 bit,608.3 GB/s,290 W,6144,6144.0,48.0,21.75 TFLOPS,rtx3070ti
RTX 3090,Ampere,,1395 MHz,1695 MHz,24 GB,GDDR6X,384 bit,936.2 GB/s,350 W,10496,10496.0,82.0,35.58 TFLOPS,rtx3090
RTX 3090 Ti,Ampere,,1560 MHz,1860 MHz,24 GB,GDDR6X,384 bit,1.01 TB/s,450 W,10752,10752.0,84.0,40.00 TFLOPS,rtx3090ti
RTX 4060,Ada Lovelace,,1830 MHz,2460 MHz,8 GB,GDDR6,128 bit,272.0 GB/s,115 W,3072,3072.0,24.0,15.11 TFLOPS,rtx4060
RTX 4060 Ti 16 GB,Ada Lovelace,,2310 MHz,2535 MHz,16 GB,GDDR6,128 bit,288.0 GB/s,165 W,4352,4352.0,34.0,22.06 TFLOPS,rtx4060ti16gb
RTX 4070 SUPER,Ada Lovelace,,1980 MHz,2475 MHz,12 GB,GDDR6X,192 bit,504.2 GB/s,220 W,7168,7168.0,56.0,35.48 TFLOPS,rtx4070super
RTX 4070 Ti,Ada Lovelace,,2310 MHz,2610 MHz,12 GB,GDDR6X,192 bit,504.2 GB/s,285 W,7680,7680.0,60.0,40.09 TFLOPS,rtx4070ti
RTX 4070 Ti SUPER,Ada Lovelace,,2340 MHz,2610 MHz,16 GB,GDDR6X,256 bit,672.3 GB/s,285 W,8448,8448.0,66.0,44.10 TFLOPS,rtx4070tisuper
RTX 4080,Ada Lovelace,,2205 MHz,2505 MHz,16 GB,GDDR6X,256 bit,716.8 GB/s,320 W,9728,9728.0,76.0,48.74 TFLOPS,rtx4080
RTX 4080 SUPER,Ada Lovelace,,2295 MHz,2550 MHz,16 GB,GDDR6X,256 bit,736.3 GB/s,320 W,10240,10240.0,80.0,52.22 TFLOPS,rtx4080super
RTX 4090,Ada Lovelace,,2235 MHz,2520 MHz,24 GB,GDDR6X,384 bit,1.01 TB/s,450 W,16384,16384.0,128.0,82.58 TFLOPS,rtx4090
RTX 5050,Blackwell 2.0,,2317 MHz,2572 MHz,8 GB,GDDR6,128 bit,320.0 GB/s,130 W,2560,2560.0,20.0,13.17 TFLOPS,rtx5050
RTX 5060,Blackwell 2.0,,2280 MHz,2497 MHz,8 GB,GDDR7,128 bit,448.0 GB/s,145 W,3840,3840.0,30.0,19.18 TFLOPS,rtx5060
RTX 5060 Ti 16 GB,Blackwell 2.0,,2407 MHz,2572 MHz,16 GB,GDDR7,128 bit,448.0 GB/s,180 W,4608,4608.0,36.0,23.70 TFLOPS,rtx5060ti16gb
RTX 5070,Blackwell 2.0,,2325 MHz,2512 MHz,12 GB,GDDR7,192 bit,672.0 GB/s,250 W,6144,6144.0,48.0,30.87 TFLOPS,rtx5070
RTX 5070 Ti,Blackwell 2.0,,2295 MHz,2452 MHz,16 GB,GDDR7,256 bit,896.0 GB/s,300 W,8960,8960.0,70.0,43.94 TFLOPS,rtx5070ti
RTX 5080,Blackwell 2.0,,2295 MHz,2617 MHz,16 GB,GDDR7,256 bit,960.0 GB/s,360 W,10752,10752.0,84.0,56.28 TFLOPS,rtx5080
RTX 5090,Blackwell 2.0,,2017 MHz,2407 MHz,32 GB,GDDR7,512 bit,1.79 TB/s,575 W,21760,21760.0,170.0,104.8 TFLOPS,rtx5090
RX 460,GCN 4.0,,1090 MHz,1200 MHz,2 GB,GDDR5,128 bit,112.0 GB/s,75 W,896,896.0,,2.150 TFLOPS,rx460
RX 470,GCN 4.0,,926 MHz,1206 MHz,4 GB,GDDR5,256 bit,211.2 GB/s,120 W,2048,2048.0,,4.940 TFLOPS,rx470
RX 480,GCN 4.0,,1120 MHz,1266 MHz,8 GB,GDDR5,256 bit,256.0 GB/s,150 W,2304,2304.0,,5.834 TFLOPS,rx480
